,time,ra,dec,maglim,comment,skynoise,band,zp
1544,60547.112115145675,277.74927456533567,-54.8106829715205,24.309091941340313,198975,37.79142073390672,lsstr,30
1545,60547.113959974224,275.1958800629432,-52.50957743108578,24.279866232971816,198979,38.82250034400932,lsstr,30
1546,60547.114421833794,270.01560219514533,-52.724324953392674,24.27964008205641,198980,38.830587629294996,lsstr,30
1547,60549.98837203756,260.7224967673122,-69.58711272962525,23.929970049538206,201518,53.584844635084515,lssti,30
1548,60549.992223093344,276.70777932474596,-64.14645693520059,24.839942398412003,201523,23.176776688556167,lsstg,30
1549,60549.99269058623,270.20490398879764,-65.64040399714419,24.83309477590499,201524,23.323412069352063,lsstg,30
1550,60549.99313964376,271.2221508160163,-62.66682693317494,24.71960829470433,201525,25.8932567555763,lsstg,30
1551,60549.993608041645,264.74122710927725,-63.90016910247158,24.710107702989607,201526,26.120826497250608,lsstg,30
1552,60549.99405716817,266.25634222993534,-61.01296016402001,24.741627677384553,201527,25.373415116609998,lsstg,30
1553,60549.99497523861,261.77340216023856,-59.204031695155244,24.76003370045038,201529,24.946895939605508,lsstg,30
1554,60549.995424478024,263.3661509937138,-56.36612472878355,24.784078252405596,201530,24.40049825700279,lsstg,30
1555,60549.9958837474,265.81756905425686,-50.4681990139216,24.815647162230515,201531,23.701243425923117,lsstg,30
1556,60549.99635576387,261.13352408028646,-51.700539242835745,24.81056630192093,201532,23.812416760935047,lsstg,30
1557,60550.00742893972,277.6127083024439,-51.80902146368407,24.61644019341569,201555,28.47435651173246,lsstg,30
1558,60550.012898556306,277.2960251151283,-58.029330893527835,24.495764987203025,201567,31.82174569872086,lsstg,30
1559,60550.013364900035,272.07244885258604,-59.66895486760394,24.484077427767023,201568,32.16614568225574,lsstg,30
1560,60550.01382080365,277.02900354764733,-61.0975708858076,24.760799652584254,201569,24.929302909555382,lsstg,30
1561,60550.01699858448,276.70777932474596,-64.14645693520059,24.325532374219463,201573,37.22348628790292,lsstr,30
1562,60550.01746607736,270.20490398879764,-65.64040399714419,24.379955764566894,201574,35.40362156333562,lsstr,30
1563,60550.01791571525,271.2221508160163,-62.66682693317494,24.41397495353785,201575,34.31152446578558,lsstr,30
1564,60550.01838411314,264.74122710927725,-63.90016910247158,24.39243725144991,201576,34.99895642799728,lsstr,30
1565,60550.01883367383,266.25634222993534,-61.01296016402001,24.424203639041977,201577,33.9897945916691,lsstr,30
1566,60550.01975199715,261.77340216023856,-59.204031695155244,24.433213448192262,201579,33.70890276911603,lsstr,30
1567,60550.02020151924,263.3661509937138,-56.36612472878355,24.46049353632143,201580,32.87248842596093,lsstr,30
1568,60550.02066134878,265.81756905425686,-50.4681990139216,24.496300400096544,201581,31.806057198504213,lsstr,30
1569,60550.021133365255,261.13352408028646,-51.700539242835745,24.551718333795737,201582,30.22335428989539,lsstr,30
1570,60550.03241888197,277.6127083024439,-51.80902146368407,24.59707018755115,201605,28.98690990281303,lsstr,30
1571,60552.97399668761,275.22153180460464,-60.158146791582375,24.250118576743567,201747,39.900888357037026,lsstr,30
1572,60552.9744577408,279.8876960721597,-58.67917883227307,24.280475261566,201748,38.80072951003176,lsstr,30
1573,60552.977700593045,275.93700060313523,-63.186063716625476,24.380338955001438,201755,35.391128717134606,lsstr,30
1574,60552.97816316608,270.4074861144573,-64.46949352651684,24.392887011159416,201756,34.98446132271762,lsstr,30
1575,60552.97862732817,264.382287224529,-65.52836496330187,24.39800850683438,201757,34.81982570972363,lsstr,30
1576,60552.97908620214,270.3444571220648,-67.60853412848884,24.380505132779323,201758,35.385712328652666,lsstr,30
1577,60552.97999720667,263.4660216123199,-68.64335130602447,24.396523855024146,201760,34.867471424799945,lsstr,30
1578,60552.985134444425,275.22153180460464,-60.158146791582375,23.963822499991537,201768,51.93988642840684,lssti,30
1579,60552.985595497616,279.8876960721597,-58.67917883227307,23.968241708322225,201769,51.72890821545377,lssti,30
1580,60552.98883834986,275.93700060313523,-63.186063716625476,23.954373030950716,201776,52.39390680719058,lssti,30
1581,60552.9893009229,270.4074861144573,-64.46949352651684,23.951132267333644,201777,52.550528578674516,lssti,30
1582,60552.98976508499,264.382287224529,-65.52836496330187,23.938028751970847,201778,53.18859211974916,lssti,30
1583,60552.99022395896,270.3444571220648,-67.60853412848884,23.910736252542733,201779,54.54255706040372,lssti,30
1584,60552.991135157274,263.4660216123199,-68.64335130602447,23.860497922842143,201781,57.12560683406609,lssti,30
1585,60552.99571199565,276.558361220983,-66.31326847660543,24.748051219315812,201788,25.223741555004384,lsstg,30
1586,60552.99944687648,278.0102021819096,-52.80379430337743,24.8529530073312,201796,22.900701857038477,lsstg,30
1587,60553.01771162944,277.29076536539355,-69.45502613192059,24.932363010606018,201836,21.285545832712604,lsstg,30
1588,60553.019957231096,276.558361220983,-66.31326847660543,24.439014282280365,201838,33.52928425873564,lsstr,30
1589,60553.02371141053,278.0102021819096,-52.80379430337743,24.61341631344279,201846,28.55377087595617,lsstr,30
1590,60560.97675110808,261.20575622375475,-60.99044971555169,21.605714923129767,203301,455.76820654827117,lssty,30
1591,60560.97721555013,266.75476380342076,-62.5399147549477,21.635032848643743,203302,443.6258619812269,lssty,30
1592,60560.977682765304,272.8420403816117,-61.23148890397221,21.69868920884636,203303,418.3640052673778,lssty,30
1593,60560.97813150913,272.9468647191513,-63.98941114621379,21.694483317373457,203304,419.9877939274458,lssty,30
1594,60560.978599529015,266.2289818415954,-65.2848690694726,21.71641427952187,203305,411.5894970118563,lssty,30
